"Descmcpay_ccard","<b>Payment with credit card</b><br>With this simple and secure payment system you can pay directly with your credit card details.<br><br>"
"Descmcpay_sepa","<b>Payment with SEPA direct debit</b><br>With this simple and secure payment system, you can pay directly with your IBAN.<br><br>"
"Descmcpay_prepay","<b>Payment with  Bank Transfer</b><br>Please transfer the invoice amount in advance. We will inform you about the bank details with your order confirmation, which you will receive immediately after receipt of the order. The receipt of payment will be confirmed by Micropayment GmbH by e-mail. The product will be shipped once the money has been received."
"Descmcpay_sofort","<b>Payment with Online bank transfer</b><br>After completing your order, you will be redirected to the online banking site of your bank. Please use the PIN/TAN - procedure of your online banking for the bank transfer."
"Descmcpay_paypal","<b>Payment with PayPal</b><br>You will directly be forwarded to PayPal at the end of your order process. If you are already a PayPal user, you can log in there with your user data and confirm the payment."
"Descmcpay_paysafecard","<b>Payment with paysafecard</b><br>You will directly be forwarded to paysafecard at the end of your order process. Please enter your paysafecard PIN for payment."
"Descmcpay_call2pay","<b>Payment with Telephone / Call</b><br>With this simple and secure payment system, you can pay directly with your phone. Keep the telephone connection until it becomes disconnected automatically."
"Descmcpay_handypay","<b>Payment with Mobile Pay/SMS</b><br>With this simple and secure payment system, you can pay directly with your mobile phone via SMS."
"Descmcpay_paydirekt","<b>Payment with paydirekt</b><br>You will directly be forwarded to paydirekt at the end of your order process. If you are already a paydirekt user, you can log in there with your user data and confirm the payment."
